: : VBP	2	1.42990941524e-05
: : VBZ	3	2.14486412286e-05
: : VBD	3	2.14486412286e-05
( : VB	2	1.42990941524e-05
: : VBN	1	7.14954707619e-06
VB : CC	47	0.000336028712581
JJ : WDT	51	0.000364626900886
. : NNS	3	2.14486412286e-05
. : NNP	9	6.43459236857e-05
CD : JJ	58	0.000414673730419
, : VBZ	53	0.000378925995038
, : VBD	46	0.000328879165505
, : VBG	9	6.43459236857e-05
JJ : FW	2	1.42990941524e-05
DT : TO	345	0.00246659374129
IN : FW	23	0.000164439582752
, : VBN	5	3.5747735381e-05
VBD : FW	2	1.42990941524e-05
NONE : POS	13	9.29441119905e-05
VBZ : TO	28	0.000200187318133
DT : FW	4	2.85981883048e-05
RBS : JJ	1	7.14954707619e-06
. : DT	1	7.14954707619e-06
MD : VB	2	1.42990941524e-05
NNP : WP	51	0.000364626900886
VBP : WP	5	3.5747735381e-05
NN : JJ	17	0.000121542300295
. : ,	34	0.000243084600591
MD : JJR	1	7.14954707619e-06
VBP : WRB	1	7.14954707619e-06
VBN : WP	1	7.14954707619e-06
MD : JJ	1	7.14954707619e-06
VBP : :	8	5.71963766095e-05
IN : TO	511	0.00365341855593
PRP : ,	4	2.85981883048e-05
VBP : ,	111	0.000793599725457
CC : RB	37	0.000264533241819
VBP : )	4	2.85981883048e-05
VBP : (	2	1.42990941524e-05
JJR : NN	17	0.000121542300295
CC : WRB	4	2.85981883048e-05
DT : VBG	139	0.000993787043591
POS : IN	48	0.000343178259657
JJS : IN	59	0.000421823277495
JJR : )	1	7.14954707619e-06
JJR : .	22	0.000157290035676
JJR : ,	14	0.000100093659067
PRP$ : JJ	7	5.00468295333e-05
NNS : IN	27	0.000193037771057
WDT : .	1	7.14954707619e-06
WDT : NNP	1	7.14954707619e-06
DT : MD	72	0.000514767389486
, : VBP	4	2.85981883048e-05
NNP : WDT	27	0.000193037771057
VBN : NNP	26	0.000185888223981
( : NNS	1	7.14954707619e-06
NNPS : NN	1	7.14954707619e-06
VBD : VBZ	1	7.14954707619e-06
IN : MD	14	0.000100093659067
CD : NNS	78	0.000557664671943
